Protein IDs	aerobic_1	aerobic_2	aerobic_3	nitro_anaerobic_1	nitro_anaerobic_2	nitro_anaerobic_3	nonnitro_anaerobic_1	nonnitro_anaerobic_2	nonnitro_anaerobic_3
WP_002712302.1	0.515163267	0.397916699	0.575980107	-0.583607278	-0.621938339	-0.174340747	0.19465259	-0.216164244	-0.087662055
WP_002716125.1	-0.247921347	-0.133393376	-0.403825801	-0.073995623	-0.449507609	-0.435526313	0.324385212	1.183396126	0.236388731
WP_008969396.1	0.398753215	0.380516709	0.435852593	-0.828685816	-0.568645454	-0.676850448	0.529523269	0.243310563	0.086225369
WP_011155572.1	3.780717588	4.085548045	4.042991881	3.003750365	-2.982601576	-2.982601576	-2.982601576	-2.982601576	-2.982601576
WP_011155573.1	-0.094883733	-0.255529588	-0.128221076	0.26424643	0.309488727	0.189894471	-0.259114439	0.001317673	-0.027198465
WP_011155575.1	0.001257404	0.174495415	0.057482748	-0.373786255	-0.280439296	-0.239156414	0.303335042	0.289388039	0.067423317
WP_011155576.1	4.147371479	4.070154936	4.118913072	-5.979446249	-5.979446249	-5.979446249	0.81828849	2.346585015	2.437025754
WP_011155578.1	-0.611919219	-0.450058866	-0.393305597	0.444856828	0.562133452	0.638144358	0.033024186	-0.069528852	-0.153346289
WP_011155579.1	0.002060923	-0.173248617	-0.246594369	0.185128231	0.149975936	0.112724259	-0.096538189	0.114735485	-0.048243658
WP_011155580.1	-0.064899048	-0.366252334	-0.430099882	0.427945671	0.350788563	0.383645835	-0.19615451	-0.007972777	-0.097001517
WP_011155581.1	-0.520201278	-0.366379525	-0.534082437	0.017549963	-0.013059271	0.274364166	0.383542182	0.524204917	0.234061283
WP_011155586.1	2.06976926	3.023684087	3.157614947	-2.242667259	-2.242667259	2.962268	-2.242667259	-2.242667259	-2.242667259
WP_011155587.1	-0.75832685	-0.348392684	-0.240986911	0.716280799	0.257459493	0.95512044	-0.285333793	-0.143156259	-0.152664236
WP_011155589.1	-0.904932972	-0.20502538	-0.149036861	0.893299068	0.28379871	1.132682876	-0.339915773	-0.486511842	-0.224357826
WP_011155591.1	0.741208916	0.557467888	0.744547611	-0.208770257	-0.275570706	-0.251078266	-0.704917796	-0.378698927	-0.224188462
WP_011155595.1	-0.982463717	-1.167283725	-0.06917535	0.23841012	1.030633017	0.322238486	-0.136159162	0.416948816	0.346851516
WP_011155598.1	3.88698044	3.207610831	3.922103025	-1.836115716	-1.836115716	-1.836115716	-1.836115716	-1.836115716	-1.836115716
WP_011155599.1	0.60205417	0.547344353	0.639621817	-0.317012199	-0.370828333	-0.273936526	-0.285105536	-0.434016667	-0.108121078
WP_011155601.1	-0.027374677	0.129206853	0.064929427	-0.378712024	-0.17409186	-0.545061098	0.288046638	0.367590163	0.275466578
WP_011155606.1	0.621586634	0.571349874	0.553836027	-0.606101437	-0.679369224	-0.505099342	0.005042522	0.02138354	0.017371408
WP_011155607.1	1.111277448	1.072129399	1.094502762	-0.946607164	-1.048000148	-1.16252686	0.052972473	-0.091848508	-0.081899403
WP_011155608.1	0.611143468	0.529817898	0.660724798	-0.486016719	-0.62837128	-0.537635879	-0.115693331	0.061762016	-0.09573097
WP_011155609.1	0.370164949	0.546276095	0.420210663	-0.601769582	-0.840101134	-0.352699665	0.31799271	0.119376063	0.020549901
WP_011155610.1	0.590811671	0.539033018	0.650937973	-0.159176966	-0.418113213	-0.248516916	-0.020576069	-0.799711791	-0.134687707
WP_011155612.1	0.143692886	0.400172688	0.408929667	-0.171159251	-0.314854276	-0.245562287	-0.124578664	-0.036192436	-0.060448327
WP_011155614.1	1.018670745	1.210836124	1.023663839	-1.458682739	-4.309057313	-0.762661134	1.038506477	1.168170796	1.070553204
WP_011155616.1	0.232584659	0.711382976	0.672853368	-0.382389925	-0.3019583	-0.145538543	-0.4852998	-0.05299461	-0.248639827
WP_011155617.1	0.14897321	0.04050463	0.143846422	-0.085489626	-0.268683744	-0.308768917	-0.015405458	0.226164192	0.118859292
WP_011155622.1	-0.025061126	0.001219176	-0.080695979	-0.244014714	-0.280161054	-0.53938947	0.44864272	0.350748671	0.368711776
WP_011155629.1	-0.388516057	-0.516887824	-0.323000744	0.517099621	0.514752997	0.550152007	-0.21247448	-0.111144774	-0.029980746
WP_011155630.1	0.38679082	0.41422121	0.507246587	-0.014537725	-0.20084247	-0.169114762	-0.397704869	-0.34202461	-0.184034182
WP_011155632.1	0.371214929	0.174345822	0.246195276	-0.251275673	-0.170328951	-0.266027686	-0.057387962	-0.080973017	0.034237262
WP_011155634.1	-0.055380079	-0.054180445	-0.176639959	0.293884956	0.266171562	-0.012385966	-0.200209338	-0.020669862	-0.04059087
WP_011155635.1	0.448163272	0.451195737	0.39255841	-0.666055962	-0.690055706	-0.558263844	0.325355009	0.174120671	0.122982413
WP_011155638.1	-0.547376333	-0.094518143	-0.261264825	0.691778029	0.1520576	0.601383037	-0.159033268	0.012932894	-0.395958991
WP_011155639.1	-0.292000424	-0.197922866	-0.251811143	0.271470189	0.287229583	0.198069608	-0.027600082	0.14339156	-0.130826425
WP_011155640.1	0.265402609	0.127659116	0.242527002	-0.12957921	-0.346657106	-0.014526787	-0.110901171	0.066889709	-0.100814162
WP_011155641.1	0.448474661	0.149105532	0.50225169	-0.169404283	-0.242888808	-0.011474793	0.027230652	-0.303180579	-0.400114072
WP_011155642.1	-0.005465676	0.11774286	0.11880014	-0.375004059	-0.251668758	-0.179308695	0.181243534	0.296857664	0.09680299
WP_011155643.1	-2.577014717	-2.577014717	-2.577014717	1.165819356	1.351755919	1.377187984	1.153226531	1.305955144	1.377099217
WP_011155644.1	0.168333817	-0.005189687	0.317590124	-0.258779105	-0.142727986	-0.088946233	0.062734362	0.026197853	-0.079213147
WP_011155646.1	-0.423891511	-0.381790955	-0.433957287	0.702485542	0.759187303	0.15873581	-0.309213866	-0.001027486	-0.070527549
WP_011155647.1	0.181122624	0.352943003	0.237419398	-0.161471138	-0.394014841	0.014937633	0.038048546	-0.295912298	0.026927073
WP_011155649.1	0.204688407	0.07231382	-0.045597369	0.039131647	0.165800305	0.174922992	-0.327373006	-0.103616608	-0.180270189
WP_011155651.1	0.163781949	0.116702103	0.238886293	-0.098391689	-0.188167014	-0.030139285	-0.179678858	-0.142630446	0.119636947
WP_011155654.1	-0.389114048	-0.170177216	-0.151562186	0.177635917	0.119664954	0.315094286	-0.146927057	0.097741419	0.147643931
WP_011155656.1	-0.87637302	-0.573784835	-0.573240319	0.709563129	0.721096059	0.466162972	-0.092194887	-0.041699957	0.260470857
WP_011155657.1	0.258399573	0.263313627	0.048557039	0.276734412	-0.013601662	-0.065248028	-0.22760408	-0.372190458	-0.168360422
WP_011155660.1	-1.174317258	-1.10038299	-1.098494234	0.113470239	1.317070102	0.541889776	0.370298793	0.383062484	0.647403087
WP_011155666.1	-1.192783711	-1.154875226	-1.104475902	1.106520202	1.226605653	0.972683452	-0.07632148	-0.011292547	0.233939558
WP_011155673.1	-0.589152864	-0.675893362	-0.510965659	1.20456616	1.100643256	0.899581982	-0.376483807	-0.521800349	-0.530495357
WP_011155675.1	-2.071846455	-2.071846455	2.165036053	2.882800003	2.875817234	2.435578984	-2.071846455	-2.071846455	-2.071846455
WP_011155677.1	0.71272021	0.379401509	1.101983041	-1.052055498	-0.9634634	-1.020017739	-0.44610167	0.661692953	0.625840594
WP_011155679.1	0.934914342	0.836156192	1.221051564	-0.516840341	-0.940030712	-0.806898615	-0.669303134	-0.130598037	0.071548742
WP_011155688.1	0.533828543	-4.436176208	-4.436176208	1.61096668	1.677687387	1.679613138	1.153203834	0.948613601	1.268439233
WP_011155690.1	-1.726141282	-1.726141282	-1.726141282	1.541853509	-1.726141282	1.563682874	1.325945122	1.196872037	1.276211585
WP_011155702.1	-1.915118615	-1.915118615	-1.915118615	4.317214327	3.726126581	3.447370783	-1.915118615	-1.915118615	-1.915118615
WP_011155704.1	-3.012436275	-3.012436275	-3.012436275	2.353293447	2.32212727	2.591218139	0.037840857	1.140932059	0.591897054
WP_011155707.1	-5.653595569	-5.653595569	-1.345736616	3.241187	2.85785459	3.180709874	1.242025012	1.054998124	1.076153155
WP_011155709.1	-3.116236265	-3.116236265	-3.116236265	3.53602119	3.441011928	3.963758042	0.989419083	-3.116236265	0.534734816
WP_011155710.1	-3.874563105	-3.874563105	-3.874563105	4.174700507	4.033598226	4.108377566	1.73893255	1.442643572	-3.874563105
WP_011155712.1	-1.926454066	-1.926454066	-1.926454066	4.030165452	3.66899989	3.859559052	-1.926454066	-1.926454066	-1.926454066
WP_011155725.1	-2.57466135	-1.794060802	-2.005313269	1.018436029	1.526141769	0.312707421	0.995945296	1.291394883	1.229410024
WP_011155726.1	0.591410787	0.500897412	0.497657165	-0.601410584	-0.606234733	-0.484690186	0.211878518	-0.109002597	-0.000505783
WP_011155727.1	0.642538998	0.570278271	0.819955241	-0.879476929	-1.131034783	-0.282627916	0.080835111	0.016810892	0.162721116
WP_011155730.1	0.010408732	0.042395976	0.349343252	-0.278869394	-0.169247689	-0.254402911	0.254656269	0.117136961	-0.071421195
WP_011155731.1	0.763081461	0.733998137	0.60980623	-1.052461997	-0.587929958	-0.527002527	0.063679068	0.016029174	-0.019199588
WP_011155732.1	0.442442124	0.48096665	0.663675369	-0.148831499	-0.229285956	-0.114555896	-0.308122441	-0.35174863	-0.43453972
WP_011155737.1	0.25222324	0.219886473	0.268525682	-0.009376975	-0.097091817	0.008287332	-0.06091766	-0.194453784	-0.387082492
WP_011155741.1	0.185956918	0.170627842	0.362614327	-0.206091322	-0.101928185	-0.033681446	0.018818217	-0.255480474	-0.140835877
WP_011155743.1	-0.192937275	0.34631773	0.1152979	-0.291680069	-0.370671643	-0.317700062	0.193422156	0.404711049	0.113240213
WP_011155747.1	-0.438154149	0.077478954	-0.106620267	-0.267224275	-0.313456554	-0.125949336	0.217251686	0.466668835	0.490005106
WP_011155753.1	0.325792068	0.442989185	0.518683272	-0.106874728	-0.177766181	-0.080610595	-0.36868409	-0.376227959	-0.177300971
WP_011155754.1	0.418952577	0.477837159	0.598533482	0.088934062	-0.020652775	0.035960442	-0.520306301	-0.432657295	-0.646601351
