Protein IDs	iBAQ	iBAQ aerobic_1	iBAQ aerobic_2	iBAQ aerobic_3	iBAQ nitro_anaerobic_1	iBAQ nitro_anaerobic_2	iBAQ nitro_anaerobic_3	iBAQ nonnitro_anaerobic_1	iBAQ nonnitro_anaerobic_2	iBAQ nonnitro_anaerobic_3	iBAQ_mol_aerobic_1	iBAQ_mol_aerobic_2	iBAQ_mol_aerobic_3	iBAQ_mol_nitro_anaerobic_1	iBAQ_mol_nitro_anaerobic_2	iBAQ_mol_nitro_anaerobic_3	iBAQ_mol_nonnitro_anaerobic_1	iBAQ_mol_nonnitro_anaerobic_2	iBAQ_mol_nonnitro_anaerobic_3	aerobic	nitro_anaerobic	nonnitro_anaerobic	iBAQ_mol_aerobic_std	iBAQ_mol_nitro_anaerobic_std	iBAQ_mol_nonnitro_anaerobic_std
WP_002712302.1	2698700000	474760000	454330000	412320000	159900000	150440000	153730000	342670000	280900000	269670000	0.234999393	0.224886836	0.204092488	0.079148207	0.074465643	0.076094146	0.169616737	0.139041473	0.133482784	0.221326239	0.076569332	0.147380331	0.015758096	0.015758096	0.002377173
WP_002716125.1	4701900000	565780000	233350000	334110000	476780000	349290000	299680000	392470000	1384900000	665540000	0.280052988	0.115504904	0.16537966	0.235999264	0.172893542	0.148337303	0.194267023	0.685505644	0.329432758	0.186979184	0.18574337	0.403068475	0.084373708	0.084373708	0.045221603
WP_008969396.1	8690400000	1388000000	1363200000	1195100000	501500000	525850000	499860000	1230800000	1075100000	911050000	0.687040099	0.674764455	0.591557365	0.24823531	0.26028821	0.247423533	0.609228353	0.532159085	0.450956688	0.65112064	0.251982351	0.530781375	0.051947191	0.051947191	0.007204528
WP_011155572.1	19858000	4407400	5193600	4847100	3817800	100910	0	207450	0	1283800	0.0021816	0.002570758	0.002399245	0.001889756	4.99E-05	0	0.000102685	0	0.000635463	0.002383867	0.000646568	0.000246049	0.000195034	0.000195034	0.001076922
WP_011155573.1	1201500000	137590000	147380000	119020000	147030000	145610000	109970000	119510000	147030000	128360000	0.068105077	0.072950987	0.058913194	0.072777742	0.072074862	0.054433573	0.059155736	0.072777742	0.06353636	0.066656419	0.066428726	0.065156613	0.007130138	0.007130138	0.01039405
WP_011155575.1	167810000	21412000	25999000	16984000	11726000	12536000	8947900	26467000	24438000	19299000	0.010598633	0.012869132	0.008406836	0.005804202	0.00620514	0.004429082	0.013100786	0.01209646	0.009552728	0.010624867	0.005479475	0.011583324	0.002231264	0.002231264	0.000931494
WP_011155576.1	310240000	96340000	95247000	76159000	0	109440	249130	5240900	17503000	19395000	0.047686919	0.047145899	0.037697613	0	5.42E-05	0.000123316	0.00259417	0.008663734	0.009600247	0.04417681	5.92E-05	0.006952717	0.005617666	0.005617666	6.18E-05
WP_011155578.1	42655000	4129400	4424600	3100800	6669500	7002800	4576800	5205300	4137600	3408400	0.002043994	0.002190114	0.001534852	0.003301307	0.003466286	0.00226545	0.002576549	0.002048053	0.001687109	0.001922986	0.003011014	0.002103904	0.000343983	0.000343983	0.000650925
WP_011155579.1	264900000	33499000	30652000	23502000	50516000	22468000	21529000	29411000	27584000	25736000	0.016581525	0.015172301	0.011633153	0.025004696	0.011121338	0.010656546	0.014558023	0.013653685	0.012738951	0.014462326	0.015594193	0.01365022	0.00254944	0.00254944	0.008153047
WP_011155580.1	152200000	15497000	16329000	9215200	21594000	20119000	16135000	14095000	21758000	17462000	0.007670793	0.008082621	0.004561392	0.01068872	0.009958617	0.007986594	0.006976823	0.010769898	0.00864344	0.006771602	0.009544644	0.00879672	0.001925142	0.001925142	0.001397821
WP_011155581.1	136960000	14178000	16555000	12138000	11465000	12496000	11858000	20243000	20528000	17497000	0.007017907	0.008194488	0.006008136	0.005675011	0.006185341	0.00586954	0.010019995	0.010161066	0.008660764	0.00707351	0.005909964	0.009613942	0.001094236	0.001094236	0.000257555
WP_011155586.1	10969000	2553300	2953300	2676000	868670	144280	1231000	542700	0	0	0.001263847	0.001461841	0.001324582	0.000429979	7.14E-05	0.000609327	0.000268629	0	0	0.00135009	0.000370241	8.95E-05	0.000101432	0.000101432	0.000273886
WP_011155587.1	383500000	25473000	35843000	31128000	70554000	46643000	54573000	39446000	39699000	40144000	0.01260877	0.017741771	0.015407914	0.034923218	0.023087616	0.027012853	0.019525204	0.019650436	0.019870704	0.015252818	0.028341229	0.019682115	0.002570013	0.002570013	0.006028583
WP_011155589.1	192120000	8599700	21026000	12267000	33502000	22318000	45367000	18949000	13906000	16190000	0.004256728	0.010407569	0.006071989	0.01658301	0.01104709	0.022456015	0.009379483	0.006883271	0.008013818	0.006912095	0.016695371	0.008092191	0.003160307	0.003160307	0.005705292
WP_011155591.1	95289000	22773000	19987000	17941000	6721900	4301300	4541200	6015300	6288900	6719200	0.011272308	0.009893278	0.008880538	0.003327244	0.002129082	0.002247829	0.002977487	0.003112915	0.003325908	0.010015375	0.002568052	0.00313877	0.001200551	0.001200551	0.000660155
WP_011155595.1	25128000	1265400	1027500	1676300	3113400	5918900	2440700	2611200	4007300	3066800	0.000626355	0.000508598	0.000829744	0.001541088	0.002929771	0.001208112	0.001292507	0.001983556	0.001518022	0.000654899	0.00189299	0.001598028	0.000162465	0.000162465	0.000913183
WP_011155596.1	19498000	1684500	1199500	1800700	3356100	2801800	2308400	1997000	2314300	2035600	0.000833803	0.000593735	0.000891321	0.001661221	0.001386851	0.001142625	0.000988486	0.001145545	0.001007593	0.000772953	0.001396899	0.001047208	0.000157849	0.000157849	0.000259444
WP_011155598.1	9904400	3335900	3535100	3033500	0	0	0	0	0	0	0.001651223	0.001749824	0.001501539	0	0	0	0	0	0	0.001634195	0	0	0.000125015	0.000125015	0
