Supplementary Table S6. Photoheterotrophic growth-esssential genes in R. palustris						
Locus	Gene Length (bp)	Gene	Product	COGs	Functional Group	Avg. fold change in protein abundance phototrophic/aerobic (log2)1
RPA0066	315	ihfB	integration host factor subunit beta	"[L] Replication, recombination and repair"	"DNA replication, recombination & repair"	ND2
RPA0076	723	-	nucleotidyl transferase	Not in COGs	biosynthesis	-0.33
RPA0128	960	-	sugar ABC transporter permease	[G] Carbohydrate transport and metabolism	transport	ND
RPA0172	1071	-	-	Not in COGs	hypothetical protein	ND
RPA0173	948	-	UDP-glucuronate decarboxylase/sugar nucleotide dehydratase	[M] Cell wall/membrane/envelope biogenesis	biosynthesis	-0.36
RPA0175	135	atpC	ATP synthase F1 subcomplex epsilon subunit	[C] Energy production and conversion	energy generation	0.16
RPA0181	2211	priA	replication restart DNA helicase PriA	"[L] Replication, recombination and repair"	"DNA replication, recombination & repair"	ND
RPA0190	885	sucD	succinyl-CoA synthetase subunit alpha	[C] Energy production and conversion	biosynthesis	-0.74
RPA0191	1197	sucC	succinyl-CoA synthetase subunit beta	[C] Energy production and conversion	biosynthesis	-0.51
RPA0227	1113	leuB	3-isopropylmalate dehydrogenase	[E] Amino acid transport and metabolism	biosynthesis	-0.69
RPA0235	606	leuD	isopropylmalate isomerase small subunit	[E] Amino acid transport and metabolism	biosynthesis	-0.35
RPA0240	1410	leuC	isopropylmalate isomerase large subunit	[E] Amino acid transport and metabolism	biosynthesis	-0.39
RPA0254	990	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	[C] Energy production and conversion	biosynthesis	ND
RPA0393	780	-	PA-phosphatase related phosphoesterase	Not in COGs	phosphatase	ND
RPA0408	1824	bipA	GTP-binding protein TypA/GTPase	[T] Signal transduction mechanisms	biosynthesis	-1.43
RPA0426	1227	fabB	3-oxoacyl-[acyl-carrier-protein] synthase	[I] Lipid transport and metabolism	biosynthesis	0.85
RPA0427	810	fabI	enoyl-reductase	[I] Lipid transport and metabolism	biosynthesis	0.71
RPA0435	414	rbfA	ribosome-binding factor A	"[J] Translation, ribosomal structure and biogenesis"	translation	ND
RPA0439	780	rimP	ribosome maturation factor RimP	"[J] Translation, ribosomal structure and biogenesis"	translation	-0.73
RPA0443	420	-	XRE family transcriptional regulator	[K] Transcription	transcription	-1.19
RPA0450	432	-	FUR family transcriptional regulator	[P] Inorganic ion transport and metabolism	transcription	0.44
RPA0505	147	-	-	Not in COGs	hypothetical protein	ND
RPA0508	963	accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	[I] Lipid transport and metabolism	biosynthesis	0.40
RPA0541	549	-	-	"[O] Posttranslational modification, protein turnover, chaperones"	hypothetical protein	ND
RPA0571	555	regR	Fis family transcriptional regulator	"[K] Transcription
[T] Signal transduction mechanisms"	transcription	0.59
RPA0594	402	mutT	mutator protein mutT/5-methyl-dCTP pyrophosphohydrolase 	[F] Nucleotide transport and metabolism	biosynthesis	ND
RPA0600	495	-	-	[S] Function unknown	hypothetical protein	ND
RPA0635	1479	-	NtrB type sensor histidine kinase	[T] Signal transduction mechanisms	sensing and signalling	ND
RPA0646	258	-	-	Not in COGs	hypothetical protein	ND
RPA0705	195	-	-	Not in COGs	hypothetical protein	ND
RPA0714	531	cobU	cobinamide kinase and cobinamide phosphate guanylyltransferase	[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA0716	3750	cobN	cobaltochelatase subunit CobN	[H] Coenzyme transport and metabolism	biosynthesis	-8.27
RPA0719	972	cobD	cobalamin biosynthesis protein CobD	[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA0854	1230	hemO	5-aminolevulinate synthase	[H] Coenzyme transport and metabolism	biosynthesis	-1.91
RPA0864	399	-	-	Not in COGs	hypothetical protein	ND
RPA0930	603	-	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	[H] Coenzyme transport and metabolism	electron transfer	ND
RPA0931	1539	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase	[H] Coenzyme transport and metabolism	electron transfer	ND
RPA0933	978	-	putative protease	"[O] Posttranslational modification, protein turnover, chaperones"	protease	6.68
RPA0934	921	-	"Collagenase-like protease, PrtC family"	"[O] Posttranslational modification, protein turnover, chaperones"	protease	4.48
RPA0938	1092	-	 TPR repeat	[T] Signal transduction mechanisms	hypothetical protein	-0.67
RPA1019	342	-	ArsR family transcriptional regulator	[K] Transcription	transcription	ND
RPA1023	312	-	-	Not in COGs	hypothetical protein	ND
RPA1051	2742	-	pyruvate phosphate dikinase	[G] Carbohydrate transport and metabolism	biosynthesis	0.19
RPA1055	1113	nadA	quinolinate synthetase	[H] Coenzyme transport and metabolism	electron transfer	ND
RPA1063	996	-	 Uncharacterized conserved protein	[S] Function unknown	hypothetical protein	ND
RPA1076	1428	-	FAD dependent 4-phosphoerythronate dehydrogenase	[C] Energy production and conversion	biosynthesis	-1.04
RPA1097	747	-	Transcriptional and/or translational regulatory protein YebC/TACO1	"[J] Translation, ribosomal structure and biogenesis
[K] Transcription"	hypothetical protein	ND
RPA1147	894	-	"Predicted glycoside hydrolase or deacetylase ChbG, UPF0249 family"	[S] Function unknown	hypothetical protein	ND
RPA1162	1284	garS	phosphoribosylamine--glycine ligase	[F] Nucleotide transport and metabolism	biosynthesis	-0.04
RPA1167	1023	yfcB	[LSU ribosomal protein L3P]-glutamine N5-methyltransferase	"[J] Translation, ribosomal structure and biogenesis"	translation	1.34
RPA1307	639	-	phosphatidylethanolamine N-methyltransferase	[H] Coenzyme transport and metabolism	biosynthesis	0.70
RPA1506	1023	bchI	magnesium chelatase ATPase subunit I	[H] Coenzyme transport and metabolism	photosynthesis	2.22
RPA1507	1773	bchD	magnesium chelatase subunit D	[H] Coenzyme transport and metabolism	photosynthesis	2.96
RPA1512	1536	crtI	amine oxidase/phytoene dehydrogenase CrtI	"[Q] Secondary metabolites biosynthesis, transport and catabolism"	photosynthesis	1.87
RPA1513	1068	crtB	squalene/phytoene synthase	[I] Lipid transport and metabolism	photosynthesis	ND
RPA1519	867	crtE	polyprenyl synthetase/farnesyl-diphosphate synthase	[H] Coenzyme transport and metabolism	photosynthesis	ND
RPA1521	939	bchC	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide a dehydrogenase	"[E] Amino acid transport and metabolism
[R] General function prediction only"	photosynthesis	-0.36
RPA1522	999	bchX	bacteriochlorophyllide reductase iron protein subunit X	[P] Inorganic ion transport and metabolism	photosynthesis	ND
RPA1523	1587	bchY	bacteriochlorophyllide reductase subunit Y	Not in COGs	photosynthesis	ND
RPA1524	1449	bchZ	bacteriochlorophyllide reductase subunit Z	[P] Inorganic ion transport and metabolism	photosynthesis	ND
RPA1525	198	pufB	antenna complex alpha/beta subunit	Not in COGs	photosynthesis	ND
RPA1526	192	pufA	light-harvesting complex 1 subunit alpha	Not in COGs	photosynthesis	ND
RPA1527	834	pufL	photosynthetic reaction center subunit L	Not in COGs	photosynthesis	6.55
RPA1528	924	pufM	photosynthetic reaction center subunit M	Not in COGs	photosynthesis	2.79
RPA1530	894	bchG	bacteriochlorophyll synthase	[H] Coenzyme transport and metabolism	photosynthesis	ND
RPA1535	420	cycA	class I cytochrome c/cytochrome c2	[C] Energy production and conversion	photosynthesis	0.28
RPA1541	486	bchF	2-vinyl bacteriochlorophillide hydratase 	Not in COGs	photosynthesis	ND
RPA1542	1290	bchN	light-independent protochlorophyllide reductase subunit N	[P] Inorganic ion transport and metabolism	photosynthesis	1.04
RPA1543	1623	bchB	light-independent protochlorophyllide reductase subunit B	[P] Inorganic ion transport and metabolism	photosynthesis	ND
RPA1544	3747	bchH	magnesium chelatase subunit H	[H] Coenzyme transport and metabolism	photosynthesis	ND
RPA1545	939	bchlL	protochlorophyllide reductase iron-sulfur ATP-binding protein	[P] Inorganic ion transport and metabolism	photosynthesis	ND
RPA1546	702	bchM	Mg-protoporphyrin IX methyl transferase	Not in COGs	photosynthesis	ND
RPA1548	768	puhA	photosynthetic reaction center complex subunit H1	Not in COGs	photosynthesis	2.12
RPA1549	663	-	possible photosynthetic complex assembly protein	Not in COGs	photosynthesis	ND
RPA1550	507	-	possible photosynthetic complex assembly protein	Not in COGs	photosynthesis	ND
RPA1555	969	cbbR	LysR family transcription regulator	[K] Transcription	transcription	ND
RPA1559	1458	cbbL	ribulose bisophosphate carboxylase large subunit	[G] Carbohydrate transport and metabolism	photosynthesis	6.65
RPA1560	423	cbbS	ribulose bisphosphate carboxylase small chain	[G] Carbohydrate transport and metabolism	photosynthesis	5.43
RPA1561	927	cbbX	probable RuBisCo-expression protein cbbX	[G] Carbohydrate transport and metabolism	photosynthesis	ND
RPA1666	1350	hemN1	coproporphyrinogen III oxidase	[H] Coenzyme transport and metabolism	photosynthesis	2.86
RPA1667	663	bchJ	bacteriochlorophyll 4-vinyl reductase	Not in COGs	photosynthesis	ND
RPA1668	1698	bchE	magnesium-protoporphyrin IX monomethyl ester cyclase	[R] General function prediction only	photosynthesis	1.67
RPA1693	597	sodB	superoxide dismutase	[P] Inorganic ion transport and metabolism	biosynthesis	-0.06
RPA1920	504	cycJ	cytochrome c-type biogenesis protein CcmE	"[C] Energy production and conversion
[O] Posttranslational modification, protein turnover, chaperones"	photosynthesis	ND
RPA2000	1599	leuA	alpha-isopropylmalate/homocitrate synthase family transferase	[E] Amino acid transport and metabolism	biosynthesis	1.11
RPA2031	1779	ilvI	acetolactate synthase 3 catalytic subunit	"[E] Amino acid transport and metabolism
[H] Coenzyme transport and metabolism"	biosynthesis	0.70
RPA2045	1011	bioB	biotin synthase	[H] Coenzyme transport and metabolism	biosynthesis	-2.69
RPA2084	780	cobM	precorrin-4 C(11)-methyltransferase	[H] Coenzyme transport and metabolism	biosynthesis	0.78
RPA2087	783	cobK	cobalt-precorrin-6x reductase	[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA2088	762	cobJ	precorrin-3B C(17)-methyltransferase	[H] Coenzyme transport and metabolism	biosynthesis	0.76
RPA2089	729	cobI	precorrin-2 C(20)-methyltransferase	[H] Coenzyme transport and metabolism	biosynthesis	0.79
RPA2090	630	cobH	precorrin-8X methylmutase	[H] Coenzyme transport and metabolism	biosynthesis	0.63
RPA2093	1299	tucA	tricarballylate dehydrogenase	[C] Energy production and conversion	biosynthesis	ND
RPA2097	765	cobF	precorrin 6A synthase	[H] Coenzyme transport and metabolism	biosynthesis	1.96
RPA2421	411	-	NADH-ubiquinone oxidoreductase	[C] Energy production and conversion	electron transfer	ND
RPA2435	1353	accC	acetyl-CoA carboxylase biotin carboxylase subunit	[I] Lipid transport and metabolism	biosynthesis	-0.25
RPA2436	495	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	[I] Lipid transport and metabolism/[H] Coenzyme transport and metabolism	biosynthesis	ND
RPA2442	768	-	putative outer membrane protein	"[O] Posttranslational modification, protein turnover, chaperones"	posttranslational modification	0.08
RPA2463	1173	nifS1	class V aminotransferase	[E] Amino acid transport and metabolism	biosynthesis	ND
RPA2501	1806	phbC	poly-beta-hydroxybutyrate synthase	[I] Lipid transport and metabolism	biosynthesis	0.64
RPA2515	1092	kamA	"L-lysine 2,3-aminomutase"	[E] Amino acid transport and metabolism	biosynthesis	ND
RPA2657	1635	-	beta (1-6) glucans synthase	[G] Carbohydrate transport and metabolism	biosynthesis	0.79
RPA2694	765	pdxJ	pyridoxine 5'-phosphate synthase	[H] Coenzyme transport and metabolism	biosynthesis	-0.64
