Supplementary Table S4. Essential genes in R. palustris CGA009 and homologs in related organisms.												Best C. crescentus Homolog							Best E. coli Homolog					
Locus	PID	Start	Stop	Length (bp)	Strand	Gene	Product	COGs	Functional Group	Functional Sub-group	Total Cc homologs?	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in Cc NA1000? (Christen et al., 2011)"	Total Ec homologs	Locus	Gene	Product	E-values	Sequence identity (%)	"Essential in MG1655? (Baba et al., 2006)"
RPA0001	39933081	679	2097	1419	+	dnaA	chromosome replication initiator DnaA	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	DNA replication	1	CCNA_00008	dnaA	chromosome replication initiator protein DnaA	4E-104	41%	essential	1	b3702	dnaA	chromosomal replication initiator protein DnaA	1E-91	36%	essential
RPA0002	39933082	2332	3450	1119	+	dnaN	DNA polymerase III subunit beta	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	DNA replication	1	CCNA_00155	-	"DNA polymerase III, beta chain"	6E-141	53%	essential	1	b3701	dnaN	"DNA polymerase III, beta subunit"	6E-96	42%	essential
RPA0004	39933084	5050	7491	2442	+	gyrB	DNA gyrase subunit B	"[L] Replication, recombination and repair"	"DNA replication, recomb & repair"	DNA replication	1	CCNA_00159	gyrB	DNA gyrase subunit B	0E+00	66%	essential	1	b3699	gyrB	"DNA gyrase, subunit B"	0E+00	56%	essential
RPA0013	39933093	14692	16890	2199	-	rdxI	cation (heavy metal) transporting ATPase	[P] Inorganic ion transport and metabolism	Metabolism	Electron transport chain	2	CCNA_01473	fixI	E1-E2 cation pump ATPase fixI	0E+00	44%	Nonessential	1	b3469	zntA	"zinc, cobalt and lead efflux system"	3E-58	28%	Nonessential
RPA0014	39933094	16925	17428	504	-	rdxH	FixH family protein	[P] Inorganic ion transport and metabolism	Metabolism	Electron transport chain	1	CCNA_01472	fixH	cation pump-linked membrane protein fixH	1E-19	30%	Nonessential	0	no E. coli homolog found					
RPA0016	39933096	19019	19900	882	-	ccoP	cytochrome c oxidase cbb3-type subunit III	[C] Energy production and conversion	Metabolism	Electron transport chain	1	CCNA_01470	ccoP	"cytochrome cbb3 oxidase, diheme subunit"	2E-106	53%	Nonessential	0	no E. coli homolog found					
RPA0017	39933097	19908	20072	165	-	ccoQ	cbb3-type cytochrome oxidase subunit	not in COGs	Metabolism	Electron transport chain	2	CCNA_02097	-	periplasmic glucan glucosyltransferase	4E-04	35%	essential	1	b2845	yqeG	predicted transporter	3E-04	24%	Nonessential
RPA0018	39933098	20082	20816	735	-	ccoO	cbb3-type cytochrome c oxidase subunit II	[C] Energy production and conversion	Metabolism	Electron transport chain	1	CCNA_01468	ccoO	"cytochrome cbb3 oxidase, cytochrome c subuni"	3E-116	66%	Nonessential	0	no E. coli homolog found					
RPA0028	39933108	31989	33581	1593	-	purH	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	[F] Nucleotide transport and metabolism	Metabolism	Purine/pyrimidine metabolism	1	CCNA_00084	purH	phosphoribosylaminoimidazolecarboxamid	0E+00	65%	Nonessential	1	b4006	purH	fused IMP	0E+00	59%	Nonessential
RPA0035	39933115	40904	43315	2412	-	pheT	phenylalanyl-tRNA synthetase subunit beta	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01095	-	phenylalanyl-tRNA synthetase beta chain	0E+00	52%	essential	1	b1713	pheT	"phenylalanine tRNA synthetase, beta subunit"	5E-155	36%	essential
RPA0037	39933117	44200	45282	1083	-	pheS	phenylalanyl-tRNA synthetase subunit alpha	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA charging	1	CCNA_01096	-	phenylalanyl-tRNA synthetase alpha chain	4E-180	65%	essential	1	b1714	pheS	"phenylalanine tRNA synthetase, alpha subunit"	1E-129	51%	essential
RPA0038	39933118	45426	45785	360	-	rplT	50S ribosomal protein L20	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01097	-	LSU ribosomal protein L20P	1E-60	73%	essential	1	b1716	rplT	50S ribosomal subunit protein L20	4E-40	60%	essential
RPA0039	39933119	45869	46069	201	-	rpmI	50S ribosomal protein L35	"[J] Translation, ribosomal structure and biogenesis"	Translation	Ribosome	1	CCNA_01098	-	LSU ribosomal protein L35P	1E-20	53%	essential	1	b1717	rpmI	50S ribosomal subunit protein L35	7E-09	33%	Nonessential
RPA0040	39933120	46403	46981	579	-	infC	translation initiation factor IF-3	"[J] Translation, ribosomal structure and biogenesis"	Translation	Translation initiation	1	CCNA_01101	-	translation initiation factor 3 (IF-3)	7E-75	60%	essential	1	b1718	infC	protein chain initiation factor IF-3	3E-57	46%	essential
RPA0043	39933123	49368	50060	693	-	-	glutathione S-transferase	"[O] Posttranslational modification, protein turnover, chaperones"	Metabolism	Redox balance	7	CCNA_03754	fzlA	FtsZ-binding protein FzlA	4E-57	44%	essential	1	b2302	yfcG	GSH-dependent disulfide bond oxidoreductase	2E-06	26%	Nonessential
RPA0044	39933124	50260	51066	807	+	uppP	undecaprenyl pyrophosphate phosphatase	[V] Defense mechanisms	"Cell cycle, cell division & cell envelope"	Cell wall biosynthesis	1	CCNA_03719	-	undecaprenyl diphosphatase	1E-88	53%	essential	1	b3057	bacA	undecaprenyl pyrophosphate phosphatase	2E-61	41%	Nonessential
RPA0046	39933126	52495	53109	615	+	-	possible ribonuclease D	"[J] Translation, ribosomal structure and biogenesis"	Translation	tRNA processing	3	CCNA_03717	-	ribonuclease D	2E-86	63%	essential	1	b1804	rnd	ribonuclease D	2E-21	24%	Nonessential
RPA0047	39933127	53339	54079	741	+	-	hypothetical protein (possible LptC)	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0048	39933128	54088	54753	666	+	-	OstA-like protein	[S] Function unknown	Stress response	Stress response	0	no C. crescentus homolog found						0	no E. coli homolog found					
RPA0061	39933141	67198	68535	1338	+	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	[E] Amino acid transport and metabolism	Metabolism	Shikimate pathway	1	CCNA_03704	-	3-phosphoshikimate 1-carboxyvinyltransferase	5E-148	54%	essential	2	b0908	aroA	5-enolpyruvylshikimate-3-phosphate synthetase	5E-40	31%	Nonessential
RPA0062	39933142	68539	69213	675	-	-	hypothetical protein (acyl-acceptor binding pocket)	[S] Function unknown	Hypothetical proteins	Hypothetical proteins	1	CCNA_00306	-	lysophospholipid acyltransferase	1E-30	29%	essential	0	no E. coli homolog found					
