Supplementary Table S5. Functional categories of R. palustris longevity genes.						
Locus Tag	Gene Length (bp)	Strand	Gene	Product	COGs	Category
RPA0537	1560	-	-	acetyl-CoA hydrolase	[C] Energy production and conversion	Biosynthesis
RPA0650	777	-	badK	cyclohex-1-ene-1-carboxyl-CoA hydratase	[I] Lipid transport and metabolism	Biosynthesis
RPA0654	768	-	badH	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	[R] General function prediction only	Biosynthesis
RPA0816	1791	+	-	acyl-CoA dehydrogenase	[I] Lipid transport and metabolism	Biosynthesis
RPA0817	1209	+	-	acetyl-CoA acetyltransferase	[I] Lipid transport and metabolism	Biosynthesis
RPA0888	1047	-	-	alpha/beta hydrolase	[I] Lipid transport and metabolism	Biosynthesis
RPA0895	777	-	-	3-oxoacyl-[ACP] reductase	"[I] Lipid transport and metabolism, [R] General function prediction only, [Q] Secondary metabolites biosynthesis, transport and catabolism"	Biosynthesis
RPA1028	549	+	moaB	molybdopterin biosynthesis protein B	[H] Coenzyme transport and metabolism	Biosynthesis
RPA1030	753	+	-	CoA transferase subunit B	[I] Lipid transport and metabolism	Biosynthesis
RPA1226	1164	+	oorA	2-oxoglutarate ferredoxin oxidoreductase subunit alpha	[C] Energy production and conversion	Biosynthesis
RPA1238	849	-	-	enoyl-CoA hydratase	[I] Lipid transport and metabolism	Biosynthesis
RPA1257	798	-	cobS	cobalamin (5`-phosphate) synthase	[H] Coenzyme transport and metabolism	Biosynthesis
RPA2115	489	+	cynS	cyanate hydratase	[P] Inorganic ion transport and metabolism	Biosynthesis
RPA2588	474	+	-	cyclase	[I] Lipid transport and metabolism	Biosynthesis
RPA2635	870	+	nifH3	nitrogenase reductase NifH subunit	[P] Inorganic ion transport and metabolism	Biosynthesis
RPA2828	873	-	-	phytoene synthase	[I] Lipid transport and metabolism	Biosynthesis
RPA3229	1116	-	adk	adenylate kinase	[F] Nucleotide transport and metabolism	Biosynthesis
RPA3321	1497	-	algC	phosphomannomutase	[G] Carbohydrate transport and metabolism	Biosynthesis
RPA3758	807	+	hpcG	"2-oxo-hepta-3-ene-1,7-dioic acid hydratase"	"[Q] Secondary metabolites biosynthesis, transport and catabolism"	Biosynthesis
RPA4461	423	-	-	cytochrome subunit of sulfide dehydrogenase	[C] Energy production and conversion	Biosynthesis
RPA4514	1701	+	-	alkaline phosphatase	[P] Inorganic ion transport and metabolism	Biosynthesis
RPA4562	906	+	apbA/panE	2-dehydropantoate 2-reductase	[H] Coenzyme transport and metabolism	Biosynthesis
RPA4596	732	+	fabG5	3-oxoacyl-ACP reductase	[R] General function prediction only	Biosynthesis
RPA4616	1374	-	nifN	nitrogenase molybdenum-cofactor biosynthesis protein NifN	[C] Energy production and conversion	Biosynthesis
RPA4630	1557	-	nifB	nitrogenase cofactor biosynthesis protein NifB	[R] General function prediction only	Biosynthesis
RPA4698	696	+	fldZ	4-hydroxy-4-methyl-2-oxoglutarate aldolase	[H] Coenzyme transport and metabolism	Biosynthesis
RPA4700	915	+	ligI	"2-pyrone-4,6-dicarboxylic acid hydrolase"	[R] General function prediction only	Biosynthesis
RPA0134	1860	-	hydC	hydrogenase gamma-fused hydrogenase large and small subunit	"[R] General function prediction only, [C] Energy production and conversion"	Energy metabolism
RPA0969	867	+	hupH	hydrogenase expression/formation protein HupH	not in COGs	Energy metabolism
RPA0971	525	+	hupJ	hydrogenase expression/formation protein HupJ	not in COGs	Energy metabolism
RPA0973	342	+	hypA	hydrogenase formation/expression protein HypA	[R] General function prediction only	Energy metabolism
RPA1547	1434	+	lhaA	photosynthetic complex (LH1) assembly protein LhaA	not in COGs	Energy metabolism
RPA2594	2292	+	ntrY	multi-sensor signal transduction histidine kinase	[T] Signal transduction mechanisms	Energy metabolism
RPA4602	297	-	fixX	ferredoxin like protein fixX	[C] Energy production and conversion	Energy metabolism
RPA0269	198	+	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA0277	195	+	-	hypothetical protein	[S] Function unknown	Hypothetical
RPA0744	285	-	-	high potential iron sulfur protein	not in COGs	Hypothetical
RPA0812	801	-	-	hypothetical protein	not in COGs	Hypothetical
